filename,min_dist,I_sc
TER_0271.pdb,13.3052,-12.0570
TER_0272.pdb,16.2582,-7.4420
TER_0273.pdb,12.2963,-10.0610
TER_0274.pdb,21.0375,-3.2480
TER_0275.pdb,27.7463,-0.3500
TER_0276.pdb,17.6979,-12.5720
TER_0277.pdb,21.7437,-6.9080
TER_0278.pdb,13.5674,-14.2680
TER_0279.pdb,12.4131,-9.7010
TER_0280.pdb,22.1374,-7.5280
TER_0281.pdb,16.0794,-11.6830
TER_0282.pdb,15.7298,-8.1910
TER_0283.pdb,23.8790,-20.3310
TER_0284.pdb,18.7686,-21.9100
TER_0285.pdb,15.4545,-9.9960
TER_0286.pdb,21.8861,-12.8600
TER_0287.pdb,15.7748,-14.6060
TER_0288.pdb,12.2595,-11.6370
TER_0289.pdb,25.3483,-10.3690
TER_0290.pdb,24.7093,-9.7200
TER_0291.pdb,15.1420,-20.5860
TER_0292.pdb,17.6746,-13.4370
TER_0293.pdb,14.2174,-17.2860
TER_0294.pdb,27.3268,-0.1300
TER_0295.pdb,13.3008,-14.5530
TER_0296.pdb,24.1780,-7.9070
TER_0297.pdb,13.2672,-7.1110
TER_0298.pdb,20.1751,-7.3500
TER_0299.pdb,11.9254,-11.8890
TER_0300.pdb,14.9628,-11.4220
TER_0301.pdb,36.4126,-12.6690
TER_0302.pdb,14.1531,-17.0570
TER_0303.pdb,14.5497,-15.7780
TER_0304.pdb,20.1915,-15.9100
TER_0305.pdb,20.8699,-7.9050
TER_0306.pdb,21.1930,-6.4960
TER_0307.pdb,14.4651,-16.4150
TER_0308.pdb,17.8083,-11.5940
TER_0309.pdb,14.2717,-11.3030
TER_0310.pdb,23.2017,-1.6060
TER_0311.pdb,11.5440,-16.5660
TER_0312.pdb,21.9159,-15.7740
TER_0313.pdb,13.5164,-11.2990
TER_0314.pdb,24.6271,-9.5230
TER_0315.pdb,14.2843,-14.6960
TER_0316.pdb,11.4727,-18.7480
TER_0317.pdb,31.4402,-8.3230
TER_0318.pdb,15.3689,-15.3870
TER_0319.pdb,12.9927,-11.8870
TER_0320.pdb,16.2735,-16.9710
TER_0321.pdb,24.1822,-7.2400
TER_0322.pdb,19.5749,-16.5000
TER_0323.pdb,10.5654,-17.5750
TER_0324.pdb,11.4182,-15.4120
TER_0325.pdb,20.5213,-10.2520
TER_0326.pdb,12.7061,-10.5260
TER_0327.pdb,17.9728,-16.0630
TER_0328.pdb,15.6328,-9.5690
TER_0329.pdb,21.4246,-12.5630
TER_0330.pdb,17.1942,-11.7620
TER_0331.pdb,21.1340,-13.8850
TER_0332.pdb,27.8469,-9.7280
TER_0333.pdb,13.8040,-10.0620
TER_0334.pdb,21.2580,-6.2140
TER_0335.pdb,23.2822,-13.6350
TER_0336.pdb,14.1687,-15.9390
TER_0337.pdb,14.0019,-13.9020
TER_0338.pdb,24.6416,-5.7420
TER_0339.pdb,15.4282,-6.7530
TER_0340.pdb,20.2415,-8.9440
TER_0341.pdb,18.1813,-19.8380
TER_0342.pdb,24.7414,-18.6040
TER_0343.pdb,14.8752,-17.8180
TER_0344.pdb,15.3689,-4.5170
TER_0345.pdb,12.5730,-12.4800
TER_0346.pdb,15.3816,-11.5060
TER_0347.pdb,14.6853,-11.6570
TER_0348.pdb,40.3267,0.0000
TER_0349.pdb,17.0901,-13.3740
TER_0350.pdb,11.6118,-13.6870
TER_0351.pdb,17.4547,-4.0820
TER_0352.pdb,18.9040,-9.8520
TER_0353.pdb,10.9521,-7.7050
TER_0354.pdb,17.6982,-12.8580
TER_0355.pdb,18.3622,-12.3770
TER_0356.pdb,12.1482,-13.7250
TER_0357.pdb,11.3874,-14.1780
TER_0358.pdb,18.8179,-1.7590
TER_0359.pdb,11.4034,-10.2630
TER_0360.pdb,13.3104,-14.2970
TER_0361.pdb,24.4835,0.0000
TER_0362.pdb,12.1912,-8.6370
TER_0363.pdb,16.9914,-9.5870
TER_0364.pdb,13.5459,-13.5850
TER_0365.pdb,15.5463,-8.4920
TER_0366.pdb,19.3750,-9.5130
TER_0367.pdb,15.9344,-13.8640
TER_0368.pdb,22.3753,-11.2730
TER_0369.pdb,21.8634,-17.3720
TER_0370.pdb,14.0642,-15.5320
TER_0371.pdb,14.7491,-9.5980
TER_0372.pdb,16.0277,-16.1230
TER_0373.pdb,14.9999,-12.2180
