,r1_smiles,r1HitCount,r2_smiles,r2HitCount,r3_smiles,r3HitCount,r1r2_smiles,r1r2HitCount,r1r3_smiles,r1r3HitCount,r2r3_smiles,r2r3HitCount,r1r2r3_smiles,r1r2r3HitCount
55,,,CC(C)(C)OC(=O)Nc1c2c(CCN2)ccc1,2.12094729563614,OC(=O)c1nc(sc1)c2ncccc2,4.4799477566072525,OC(CCCC1=CC(C=O)=CC=C1)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1,15.281739781807008,OC(CCCN1CC2=C(C=C(C=C2)C=O)C1=O)=O-CCCNS(=O)(=O)c1ccc(C(O)=O)cc1,31.83437692071297,Cl.Cl.NC1CN(C1)C2SCCN=2-O=Cc1c2c(nc1)cc(C(O)=O)cn2,13.0083454978488,O=C1C2=C(C=CC(C=O)=C2)N=C(C)N1CCCC(O)=O-CC(C)(C)OC(=O)NC1C2C(CNC2)CC1-OC(=O)C1CCN(CC1)c2n3c(nnn3)cnc2,7.585001152427781
56,,,CC(C)(C)OC(=O)N1CC(NCC1)c2cc(Cl)c(Cl)cc2,2.114887446220037,O=Cc1cc(ccc1)OC(C(O)=O)c2ccccc2,4.462978257529195,O=C1C2=C(C=CC(C=O)=C2)N=C(C)N1CCCC(O)=O-Nc1cc(nn1)c2occc2,14.815121773202211,O=C(O)CCCCNC1=NN(C)C2=C1C=CC(C=O)=C2-O=Cc1cnc(cc1)c2ncccc2,30.751574984634296,Cl.NCC1C(=O)Nc2c(cccc2)C1-Cc1ccc(cc1)N2C(=O)CCC(C(O)=O)=N2,13.0083454978488,OC(CCC(C=C1)=CC=C1C2=CC=C(C=O)C=N2)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cnc(cc1)c2cscc2,7.185790565457897
57,,,NC1Cc2c(NC1)nnc2C,2.1027677473878303,OC(=O)c1n2c(cn1)c(F)ccc2,4.429039259373079,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O-Nc1cc(nn1)c2occc2,14.465158266748617,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-OC(=O)c1nc(sc1)c2nccnc2,30.751574984634296,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cnc(cc1)c2cscc2,13.0083454978488,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cn(nn1)c2ccccc2,7.185790565457897
58,,,Cl.NCCN1Cc2c(cccc2)OCC1=O,2.1027677473878303,OC(=O)C1C(=O)NC(=CC=1)c2sccc2,4.361161263060849,O=C(O)CCC1=CC=CC(C2=CN=C(C=O)C=C2)=C1-Cl.COC(=O)C(N)Cc1c2c(cccc2)oc1,14.348503764597416,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-OC(=O)c1ncc(cc1)c2occc2,29.668773048555625,C1CNCC(CCC1)NC(=O)OC(C)(C)C-OC(=O)c1nc2c(cc1)C(=O)NC=C2,13.0083454978488,O=C(O)CCCCC=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(cnc1)c2ccc(F)cc2,7.185790565457897
59,,,Cl.Cl.NCc1c2c(ccc1)nnn2,2.072468500307314,OC(=O)Cn1c2c(CCCC2)c(n1)C(F)(F)F,4.2254052704363865,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O-NC1Cc2c(NC1)nnc2C,13.531922249539033,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O-OC(=O)c1nc(sc1)c2nccnc2,29.45221266133989,CC(C)(C)OC(=O)N1CC(NCC1)c2cc(Cl)c(Cl)cc2-OC(=O)c1nc2c(cc1)C(=O)NC=C2,13.0083454978488,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O-CC(C)(C)OC(=O)N1CC(NCC1)c2cc(Cl)c(Cl)cc2-OC(=O)c1nc2c(cc1)C(=O)NC=C2,6.786579978488014
60,,,Cl.CC(N)c1nc(on1)Cc2c3c(cccc3)on2,2.0664086508912107,OC(=O)CN1c2c(cccc2)OC(F)(F)C1=O,4.123588275968039,OC(CCCC1=CC(C=O)=CC=C1)=O-Nc1cc(nn1)c2occc2,13.41526774738783,O=C1C2=C(C=C(C=O)C=C2)N=NN1CCCC(O)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,29.235652274124156,Cl.NCC1C(=O)Nc2c(cccc2)C1-OC(=O)CC1c2c(cccc2)CCO1,13.0083454978488,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cn(nc1)c2cc(F)ccc2,6.786579978488014
61,,,Nc1c2c(ccc1)n(C)nc2,2.054288952059004,Clc1c2c(cncc2)ncn1,4.089649277811924,OC(CCCN1C2=C3C(C=CC=C3C1=O)=C(C=O)C=C2)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1,13.41526774738783,O=C1C2=C(C=C(C=C2)N3CCC(C=O)CC3)CN1CCCC(O)=O-OC(=O)c1nc(sc1)c2nccnc2,28.15285033804548,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cn(nc1)c2cc(Cl)ccc2,12.656768592501535,OC(CCC(C=C1)=CC=C1C2=CN=C(C=O)C=C2)=O-NCc1nc(sc1)c2sccc2-O=C1Nc2c(OC1)c(ccc2)C(O)=O,6.786579978488014
62,,,O=C(OC(C)(C)C)Nc1nn2c(CNCC2)c1,2.054288952059004,OC(=O)c1c2c(cccc2)no1,4.072679778733867,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-Nc1cc(nn1)c2occc2,13.298613245236632,OC(CCCCCN(C1=O)C(C2=C(C=O)C=CC3=CC=CC1=C32)=O)=O-OC(=O)C(Cc1ccccc1)N2C(=O)OCCC2,27.286608789182544,Cl.NCCN1c2c(cccc2)OC(C)(C)C1-n1nc(nn1)c2ccc(cc2)S(=O)(=O)Cl,12.30519168715427,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-Cc1ccc(cc1)N2C(=O)CCC(C(O)=O)=N2,6.786579978488014
63,,,Cl.NCCCc1nccnc1,2.0482291026429014,OC(=O)CCc1nc2c(cccc2)cc1,4.021771281499692,OC(CCC(C=C1)=CC=C1C2=CN=C(C=O)C=C2)=O-Cl.COC(=O)C(N)Cc1oc2c(cccc2)c1,13.181958743085431,OC(CCCN1C2=C3C(C=CC=C3C1=O)=C(C=O)C=C2)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,26.63692762753534,NCc1ccc(cc1)Oc2ccccc2-OC(=O)c1nc2c(cc1)C(=O)NC=C2,11.953614781807008,O=C1C2=C(C=C(C=C2)N3CCC(C=O)CC3)CN1CCCC(O)=O-NCc1nc(sc1)c2sccc2-O=C1Nc2c(OC1)c(ccc2)C(O)=O,6.387369391518131
64,,,NCc1ccc(cc1)C(C)(C)C,2.0361094038106944,OC(=O)c1cc(ccc1)C2NC(=O)NN=2,3.852076290719115,O=C1C2=C(C=CC(C=O)=C2)N=C(C)N1CCCC(O)=O-Cl.Cl.NCc1nc(no1)c2cnccc2,13.065304240934235,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O-OC(=O)c1nc(sc1)c2nccnc2,26.63692762753534,Cc1cc2c(ccc(N)c2F)n1-OC(=O)CCC1C(=O)Nc2c(cccc2)C1,11.953614781807008,O=C(O)CCC1=CC=CC(C2=CN=C(C=O)C=C2)=C1-NCc1nc(sc1)c2sccc2-OC(=O)c1c2c(ccc1)NC(=O)C(C)O2,6.387369391518131
